Reference,StrikeATMdiff,Forward_Rate,Volatility
EUR_30Y_1Y,250,0.011145787436,0.00575156483655277
EUR_30Y_1Y,400,0.011140571371,0.00632059147198869
EUR_1M_2Y,-25,-0.001855440841,0.00238587802723642
EUR_1M_2Y,-15,-0.001854736151,0.00152173133056208
EUR_1M_2Y,-10,-0.001854733557,0.00125301249033433
EUR_1M_2Y,-5,-0.001854733557,0.00119566210347985
EUR_1M_2Y,-2,-0.001854733557,0.00124052763410732
EUR_1M_2Y,0,-0.001854733557,0.00129853172773684
EUR_1M_2Y,5,-0.001854733557,0.0014815668906665
EUR_1M_2Y,10,-0.001854733557,0.00168405567696308
EUR_1M_2Y,15,-0.001854733557,0.00193211353759973
EUR_1M_2Y,25,-0.001854733557,0.00250174343158566
EUR_1M_2Y,50,-0.001855290396,0.00400996499055176
EUR_3M_2Y,-25,-0.001710685769,0.00165927039660741
EUR_3M_2Y,-15,-0.001709928451,0.00134425621120633
EUR_3M_2Y,-10,-0.001709906321,0.00128749547814382
EUR_3M_2Y,-5,-0.001709906321,0.00132402351060907
EUR_3M_2Y,-2,-0.001709906321,0.00138172027941023
EUR_3M_2Y,0,-0.001709906321,0.00143674170150118
EUR_3M_2Y,5,-0.001709906321,0.00158464074040702
EUR_3M_2Y,10,-0.001709906321,0.00175181327792209
EUR_3M_2Y,15,-0.001709906321,0.00192187045838758
EUR_3M_2Y,25,-0.001709906321,0.00228673373364858
EUR_3M_2Y,50,-0.001710547847,0.00314422932183316
EUR_6M_2Y,-25,-0.001449765578,0.00154044462036459
EUR_6M_2Y,-15,-0.001448970838,0.00147973985773124
EUR_6M_2Y,-10,-0.001449021506,0.00152520040649923
EUR_6M_2Y,-5,-0.001449021506,0.00160670980032508
EUR_6M_2Y,-2,-0.001449021506,0.00166884418273807
EUR_6M_2Y,0,-0.001449021506,0.00171848379400276
EUR_6M_2Y,5,-0.001449021506,0.00184437128945729
EUR_6M_2Y,10,-0.001449021506,0.00197917500119001
EUR_6M_2Y,15,-0.001449021506,0.00211716209245216
EUR_6M_2Y,25,-0.001449021506,0.00239923887589707
EUR_6M_2Y,50,-0.001449865275,0.00305848523748439
EUR_1Y_2Y,-25,-0.000768527042,0.00194862399802142
EUR_1Y_2Y,-15,-0.000768361295,0.0020232575870964
EUR_1Y_2Y,-10,-0.000768533377,0.00208470707849305
EUR_1Y_2Y,-5,-0.000768533377,0.00215864768670018
EUR_1Y_2Y,-2,-0.000768533377,0.00220814790741012
EUR_1Y_2Y,0,-0.000768533377,0.00224494370507578
EUR_1Y_2Y,5,-0.000768533377,0.00233370371396783
EUR_1Y_2Y,10,-0.000768533377,0.00242800617222686
EUR_1Y_2Y,15,-0.000768533377,0.00252513841850598
EUR_1Y_2Y,25,-0.000768533377,0.00273104760937103
EUR_1Y_2Y,50,-0.000768901082,0.00322960040633898
EUR_2Y_2Y,-50,0.000924996818,0.00288230761208637
EUR_2Y_2Y,-25,0.000923086475,0.00300674816865966
EUR_2Y_2Y,-15,0.000922194252,0.00308316259224646
EUR_2Y_2Y,-10,0.000922194252,0.00312832362445027
EUR_2Y_2Y,-5,0.000922194252,0.00317622149263672
EUR_2Y_2Y,0,0.000922194252,0.00322865340072402
EUR_2Y_2Y,25,0.000922194252,0.00351040033209607
EUR_2Y_2Y,50,0.000922194252,0.00382768766367263
EUR_2Y_2Y,75,0.000922194252,0.00415890121957654
EUR_2Y_2Y,100,0.000922194252,0.00449522295892377
EUR_2Y_2Y,125,0.000923085203,0.00481809227217692
EUR_3Y_2Y,-100,0.002849651993,0.00342448678771156
EUR_3Y_2Y,-75,0.002848224536,0.00348420380233994
EUR_3Y_2Y,-50,0.002846573731,0.00358466470397174
EUR_3Y_2Y,-25,0.002846573731,0.00374059433126105
EUR_3Y_2Y,-10,0.002846573731,0.00385852494634927
EUR_3Y_2Y,0,0.002846573731,0.00394840387046787
EUR_3Y_2Y,25,0.002846573731,0.00418478264252011
EUR_3Y_2Y,50,0.002846573731,0.00444574427832321
EUR_3Y_2Y,100,0.002846573731,0.005005755298892
EUR_3Y_2Y,125,0.002846573731,0.00529302443293409
EUR_3Y_2Y,150,0.002847140494,0.00556964768172494
EUR_4Y_2Y,-125,0.004957485752,0.00378243944681534
EUR_4Y_2Y,-100,0.004955613331,0.00385502625710734
EUR_4Y_2Y,-75,0.004954408692,0.00394418841279333
EUR_4Y_2Y,-50,0.004954408692,0.00406359398379862
EUR_4Y_2Y,-25,0.004954408692,0.00421405200233872
EUR_4Y_2Y,0,0.004954408692,0.00439675505134416
EUR_4Y_2Y,50,0.004954408692,0.00481221452956647
EUR_4Y_2Y,75,0.004954408692,0.00503991233065505
EUR_4Y_2Y,100,0.004954408692,0.00527583068595827
EUR_4Y_2Y,150,0.004954408692,0.00576168940422721
EUR_4Y_2Y,200,0.004954700738,0.00624862379368686
EUR_5Y_2Y,-150,0.007135943035,0.00406377060500627
EUR_5Y_2Y,-125,0.007134497301,0.00414057702084788
EUR_5Y_2Y,-100,0.00713335775,0.00421924134527598
EUR_5Y_2Y,-75,0.00713335775,0.00431965907541401
EUR_5Y_2Y,-50,0.00713335775,0.00444146881299244
EUR_5Y_2Y,0,0.00713335775,0.00473627050116307
EUR_5Y_2Y,50,0.00713335775,0.0050848374656634
EUR_5Y_2Y,100,0.00713335775,0.00546368465268718
EUR_5Y_2Y,125,0.00713335775,0.00566073844322118
EUR_5Y_2Y,200,0.00713335775,0.00628164266501519
EUR_5Y_2Y,250,0.007132461916,0.00670161139344201
EUR_6Y_2Y,-175,0.009281047779,0.00431746076135279
EUR_6Y_2Y,-150,0.009281257482,0.00438233280483807
EUR_6Y_2Y,-125,0.009278949191,0.0044513591870278
EUR_6Y_2Y,-100,0.009278949191,0.00453348770201769
EUR_6Y_2Y,-50,0.009278949191,0.00474396323046157
